SLU Score,Opponent Score,Set,Opponent,Year,Server,Play Comment,,
15,17,1,RIT,2014,SLU,[Maddy Ruehl] Attack error by Sarah  Szybist.,,
16,17,1,RIT,2014,SLU,[Maddy Ruehl] Attack error by Abby Higgins (block by Cristina Deschaine; Masha Kolesnikova).,,
17,17,1,RIT,2014,SLU,[Maddy Ruehl] Attack error by Amy Van Hienen (block by Katarina Marczeski; Cristina Deschaine).,,
18,17,1,RIT,2014,SLU,[Maddy Ruehl] Kill by Cristina Deschaine (from Katarina Marczeski).,,
19,17,1,RIT,2014,SLU,[Maddy Ruehl] Attack error by Abby Higgins.,,
20,17,1,RIT,2014,SLU,[Maddy Ruehl] Kill by Masha Kolesnikova (from Katarina Marczeski).,,
21,17,1,RIT,2014,SLU,[Maddy Ruehl] Attack error by Abby Higgins (block by Masha Kolesnikova; Cristina Deschaine).,,
22,17,1,RIT,2014,SLU,[Maddy Ruehl] Ball handling error by Rebecca Bennett.,,
22,18,1,RIT,2014,SLU,[Maddy Ruehl] Attack error by Cristina Deschaine.,,
22,19,1,RIT,2014,RIT_WV~1,[Amy Van Hienen] Kill by Sarah  Szybist (from Laiz Novaes).,,
22,20,1,RIT,2014,RIT_WV~1,[Amy Van Hienen] Kill by Sarah  Szybist (from Laiz Novaes).,,
23,20,1,RIT,2014,RIT_WV~1,[Amy Van Hienen] Kill by Masha Kolesnikova (from Katie Kull).,,
23,21,1,RIT,2014,SLU,[Masha Kolesnikova] Kill by Sarah  Szybist (from Laiz Novaes).,,
24,21,1,RIT,2014,RIT_WV~1,[Abby Higgins] Service error.,,
25,21,1,RIT,2014,SLU,[Cristina Deschaine] Attack error by Sarah  Szybist.,,
0,1,2,RIT,2014,SLU,[Katie Rowell] Kill by Sarah  Szybist (from Laiz Novaes).,,
0,2,2,RIT,2014,RIT_WV~1,[Abby Higgins] Attack error by Katie Rowell.,,
1,2,2,RIT,2014,RIT_WV~1,[Abby Higgins] Kill by Cristina Deschaine (from Katie Kull).,,
2,2,2,RIT,2014,SLU,[Cristina Deschaine] Ball handling error by Sarah  Szybist.,,
2,3,2,RIT,2014,SLU,[Cristina Deschaine] Service error.,,
2,4,2,RIT,2014,RIT_WV~1,[Laiz Novaes] Attack error by Amanda Brooks.,,
2,5,2,RIT,2014,RIT_WV~1,[Laiz Novaes] Kill by Sarah  Szybist (from Laiz Novaes).,,
3,5,2,RIT,2014,RIT_WV~1,[Laiz Novaes] Attack error by Sarah  Szybist.,,
4,5,2,RIT,2014,SLU,[Katarina Marczeski] Attack error by Meritt Rogers.,,
5,5,2,RIT,2014,SLU,[Katarina Marczeski] Kill by Lexi Brown (from Katarina Marczeski).,,
5,6,2,RIT,2014,SLU,[Katarina Marczeski] Service error.,,
5,7,2,RIT,2014,RIT_WV~1,[Sarah  Szybist] Kill by Amy Van Hienen (from Laiz Novaes).,,
6,7,2,RIT,2014,RIT_WV~1,[Sarah  Szybist] Kill by Lexi Brown (from Becky Briggs).,,
7,7,2,RIT,2014,SLU,[Lexi Brown] Attack error by Amy Van Hienen (block by Becky Briggs; Maddy Ruehl).,,
8,7,2,RIT,2014,SLU,[Lexi Brown] Attack error by Amy Van Hienen.,,
8,8,2,RIT,2014,SLU,[Lexi Brown] Kill by Sarah  Szybist (from Laiz Novaes).,,
9,8,2,RIT,2014,RIT_WV~1,[Bethany Davis] Attack error by Meritt Rogers (block by Masha Kolesnikova; Becky Briggs).,,
10,8,2,RIT,2014,SLU,[Mariah Dignan] Kill by Masha Kolesnikova.,,
10,9,2,RIT,2014,SLU,[Mariah Dignan] Kill by Abby Higgins (from Laiz Novaes).,,
11,9,2,RIT,2014,RIT_WV~1,[Rebecca Bennett] Kill by Maddy Ruehl (from Katarina Marczeski).,,
11,10,2,RIT,2014,SLU,[Maddy Ruehl] Service error.,,
11,11,2,RIT,2014,RIT_WV~1,[Amy Van Hienen] Kill by Sarah  Szybist (from Laiz Novaes).,,
12,11,2,RIT,2014,RIT_WV~1,[Amy Van Hienen] Kill by Amanda Brooks (from Katie Kull).,,
13,11,2,RIT,2014,SLU,[Katie Rowell] Service ace (Amy Van Hienen).,,
14,11,2,RIT,2014,SLU,[Katie Rowell] Attack error by Sarah  Szybist (block by Amanda Brooks; Cristina Deschaine).,,
14,12,2,RIT,2014,SLU,[Katie Rowell] Kill by Abby Higgins (from Laiz Novaes).,,
15,12,2,RIT,2014,RIT_WV~1,[Abby Higgins] Kill by Lexi Brown (from Katie Kull).,,
16,12,2,RIT,2014,SLU,[Cristina Deschaine] Kill by Becky Briggs.,,
17,12,2,RIT,2014,SLU,[Cristina Deschaine] Service ace (Bethany Davis).,,
18,12,2,RIT,2014,SLU,[Cristina Deschaine] Service ace (Amy Van Hienen).,,
19,12,2,RIT,2014,SLU,[Cristina Deschaine] Attack error by Sarah  Szybist.,,
20,12,2,RIT,2014,SLU,[Cristina Deschaine] Kill by Lexi Brown (from Katie Kull).,,
20,13,2,RIT,2014,SLU,[Cristina Deschaine] Kill by Sarah  Szybist (from Laiz Novaes).,,
21,13,2,RIT,2014,RIT_WV~1,[Laiz Novaes] Kill by Becky Briggs (from Katie Kull).,,
22,13,2,RIT,2014,SLU,[Katarina Marczeski] Service ace (Bethany Davis).,,
22,14,2,RIT,2014,SLU,[Katarina Marczeski] Service error.,,
22,15,2,RIT,2014,RIT_WV~1,[Sarah  Szybist] Service ace (Mariah Dignan).,,
22,16,2,RIT,2014,RIT_WV~1,[Sarah  Szybist] Service ace (Katie Rowell).,,
23,16,2,RIT,2014,RIT_WV~1,[Sarah  Szybist] Kill by Maddy Ruehl (from Mariah Dignan).,,
24,16,2,RIT,2014,SLU,[Lexi Brown] Attack error by Amy Van Hienen.,,
24,17,2,RIT,2014,SLU,[Lexi Brown] Service error.,,
24,18,2,RIT,2014,RIT_WV~1,[Bethany Davis] Kill by Amy Van Hienen (from Laiz Novaes).,,
25,18,2,RIT,2014,RIT_WV~1,[Bethany Davis] Kill by Becky Briggs (from Katarina Marczeski).,,
0,1,3,RIT,2014,RIT_WV~1,[Rebecca Bennett] Kill by Sarah  Szybist (from Laiz Novaes).,,
1,1,3,RIT,2014,RIT_WV~1,[Rebecca Bennett] Kill by Cristina Deschaine (from Katie Kull).,,
2,1,3,RIT,2014,SLU,[Masha Kolesnikova] Kill by Cristina Deschaine (from Katie Kull).,,
2,2,3,RIT,2014,SLU,[Masha Kolesnikova] Attack error by Cristina Deschaine.,,
2,3,3,RIT,2014,RIT_WV~1,[Abby Higgins] Service ace (Cristina Deschaine).,,
3,3,3,RIT,2014,RIT_WV~1,[Abby Higgins] Kill by Cristina Deschaine (from Katie Kull).,,
3,4,3,RIT,2014,SLU,[Cristina Deschaine] Service error.,,
3,5,3,RIT,2014,RIT_WV~1,[Laiz Novaes] Attack error by Lexi Brown.,,
4,5,3,RIT,2014,RIT_WV~1,[Laiz Novaes] Kill by Lexi Brown (from Katie Kull).,,
5,5,3,RIT,2014,SLU,[Katarina Marczeski] Kill by Becky Briggs.,,
5,6,3,RIT,2014,SLU,[Katarina Marczeski] Attack error by Maddy Ruehl.,,
6,6,3,RIT,2014,RIT_WV~1,[Sarah  Szybist] Service error.,,
6,7,3,RIT,2014,SLU,[Katie Rowell] Ball handling error by Katarina Marczeski.,,
6,8,3,RIT,2014,RIT_WV~1,[Bethany Davis] Service ace (Katie Rowell).,,
7,8,3,RIT,2014,RIT_WV~1,[Bethany Davis] Service error.,,
8,8,3,RIT,2014,SLU,[Mariah Dignan] Kill by Cristina Deschaine (from Katarina Marczeski).,,
9,8,3,RIT,2014,SLU,[Mariah Dignan] Attack error by Meritt Rogers.,,
9,9,3,RIT,2014,SLU,[Mariah Dignan] Kill by Laiz Novaes (from Sarah  Szybist).,,
10,9,3,RIT,2014,RIT_WV~1,[Hanna Stokes] Kill by Masha Kolesnikova (from Katarina Marczeski).,,
10,10,3,RIT,2014,SLU,[Maddy Ruehl] Service error.,,
10,11,3,RIT,2014,RIT_WV~1,[Rebecca Bennett] Attack error by Masha Kolesnikova.,,
11,11,3,RIT,2014,RIT_WV~1,[Rebecca Bennett] Service error.,,
12,11,3,RIT,2014,SLU,[Masha Kolesnikova] Attack error by Sarah  Szybist.,,
12,12,3,RIT,2014,SLU,[Masha Kolesnikova] Ball handling error by Katie Kull.,,
12,13,3,RIT,2014,RIT_WV~1,[Abby Higgins] Service ace (Rachel Pineda).,,
12,14,3,RIT,2014,RIT_WV~1,[Abby Higgins] Bad set by Katie Kull.,,
13,14,3,RIT,2014,RIT_WV~1,[Abby Higgins] Service error.,,
13,15,3,RIT,2014,SLU,[Cristina Deschaine] Kill by Rebecca Bennett (from Laiz Novaes).,,
13,16,3,RIT,2014,RIT_WV~1,[Laiz Novaes] Kill by Kayla Wheeler.,,
14,16,3,RIT,2014,RIT_WV~1,[Laiz Novaes] Kill by Becky Briggs (from Katie Kull).,,
14,17,3,RIT,2014,SLU,[Katarina Marczeski] Attack error by Lexi Brown.,,
15,17,3,RIT,2014,RIT_WV~1,[Sarah  Szybist] Service error.,,
16,17,3,RIT,2014,SLU,[Katie Rowell] Bad set by Laiz Novaes.,,
16,18,3,RIT,2014,SLU,[Katie Rowell] Kill by Sara  Martin (from Laiz Novaes).,,
17,18,3,RIT,2014,RIT_WV~1,[Bethany Davis] Kill by Masha Kolesnikova (from Cristina Deschaine).,,
18,18,3,RIT,2014,SLU,[Mariah Dignan] Service ace (Sara  Martin).,,
18,19,3,RIT,2014,SLU,[Mariah Dignan] Service error.,,
18,20,3,RIT,2014,RIT_WV~1,[Hanna Stokes] Service ace (Katie Rowell).,,
19,20,3,RIT,2014,RIT_WV~1,[Hanna Stokes] Attack error by Sarah  Szybist.,,
20,20,3,RIT,2014,SLU,[Maddy Ruehl] Attack error by Sara  Martin.,,
20,21,3,RIT,2014,SLU,[Maddy Ruehl] Kill by Sarah  Szybist (from Laiz Novaes).,,
